"congress","node","party"
51,48,"Republican"
51,49,"Republican"
51,50,"Republican"
51,51,"Republican"
51,52,"Republican"
51,53,"Republican"
51,54,"Republican"
51,55,"Democrat"
51,56,"Democrat"
51,57,"Republican"
51,58,"Republican"
51,59,"Democrat"
51,60,"Democrat"
51,61,"Republican"
51,62,"Republican"
51,63,"Democrat"
51,64,"Republican"
51,65,"Republican"
51,66,"Republican"
51,67,"Republican"
51,68,"Republican"
51,69,"Republican"
51,70,"Republican"
51,71,"Republican"
51,72,"Democrat"
51,73,"Democrat"
51,74,"Republican"
51,75,"Republican"
51,76,"Democrat"
51,77,"Democrat"
51,78,"Democrat"
51,79,"Democrat"
51,80,"Republican"
51,81,"Republican"
51,82,"Democrat"
51,83,"Democrat"
51,84,"Republican"
51,85,"Republican"
51,86,"Democrat"
51,87,"Democrat"
51,88,"Republican"
51,89,"Republican"
51,90,"Republican"
51,91,"Republican"
52,1,"Democrat"
52,2,"Democrat"
52,3,"Democrat"
52,4,"Democrat"
52,5,"Republican"
52,6,"Republican"
52,7,"Republican"
52,8,"Republican"
52,9,"Republican"
52,10,"Republican"
52,11,"Republican"
52,12,"Democrat"
52,13,"Democrat"
52,14,"Democrat"
52,15,"Democrat"
52,16,"Democrat"
52,17,"Republican"
52,18,"Republican"
52,19,"Republican"
52,20,"Democrat"
52,21,"Democrat"
52,22,"Democrat"
52,23,"Republican"
52,24,"Republican"
52,25,"Democrat"
52,26,"Republican"
52,27,"Democrat"
52,28,"Democrat"
52,29,"Democrat"
52,30,"Democrat"
52,31,"Democrat"
52,32,"Democrat"
52,33,"Republican"
52,34,"Republican"
52,35,"Democrat"
52,36,"Democrat"
52,37,"Republican"
52,38,"Republican"
52,39,"Republican"
52,40,"Republican"
52,41,"Republican"
52,42,"Republican"
52,43,"Democrat"
52,44,"Democrat"
52,45,"Democrat"
52,46,"Democrat"
52,47,"Republican"
52,48,"Republican"
52,49,"Republican"
52,50,"Republican"
52,51,"Republican"
52,52,"Republican"
52,53,"Republican"
52,54,"Republican"
52,55,"Democrat"
52,56,"Democrat"
52,57,"Republican"
52,58,"Democrat"
52,59,"Democrat"
52,60,"Democrat"
52,61,"Republican"
52,62,"Republican"
52,63,"Democrat"
52,64,"Republican"
52,65,"Republican"
52,66,"Republican"
52,67,"Republican"
52,68,"Republican"
52,69,"Republican"
52,70,"Republican"
52,71,"Democrat"
52,72,"Democrat"
52,73,"Republican"
52,74,"Democrat"
52,75,"Democrat"
52,76,"Democrat"
52,77,"Democrat"
52,78,"Democrat"
52,79,"Democrat"
52,80,"Republican"
52,81,"Republican"
52,82,"Democrat"
52,83,"Democrat"
52,84,"Democrat"
52,85,"Republican"
52,86,"Republican"
52,87,"Democrat"
52,88,"Democrat"
52,89,"Democrat"
52,90,"Democrat"
52,91,"Republican"
52,92,"Republican"
52,93,"Republican"
53,1,"Democrat"
53,2,"Democrat"
53,3,"Democrat"
53,4,"Democrat"
53,5,"Democrat"
53,6,"Republican"
53,7,"Republican"
53,8,"Republican"
53,9,"Republican"
53,10,"Republican"
53,11,"Republican"
53,12,"Democrat"
53,13,"Democrat"
53,14,"Democrat"
53,15,"Democrat"
53,16,"Democrat"
53,17,"Democrat"
53,18,"Republican"
53,19,"Republican"
53,20,"Democrat"
53,21,"Republican"
53,22,"Democrat"
53,23,"Democrat"
53,24,"Republican"
53,25,"Republican"
53,26,"Democrat"
53,27,"Democrat"
53,28,"Democrat"
53,29,"Democrat"
53,30,"Democrat"
53,31,"Democrat"
53,32,"Democrat"
53,33,"Republican"
53,34,"Republican"
53,35,"Democrat"
53,36,"Democrat"
53,37,"Republican"
53,38,"Republican"
53,39,"Republican"
53,40,"Republican"
53,41,"Republican"
53,42,"Republican"
53,43,"Republican"
53,44,"Republican"
53,45,"Democrat"
53,46,"Democrat"
53,47,"Democrat"
53,48,"Democrat"
53,49,"Democrat"
53,50,"Republican"
53,51,"Republican"
53,52,"Democrat"
53,53,"Republican"
53,54,"Republican"
53,55,"Republican"
53,56,"Republican"
53,57,"Democrat"
53,58,"Democrat"
53,59,"Democrat"
53,60,"Democrat"
53,61,"Democrat"
53,62,"Democrat"
53,63,"Democrat"
53,64,"Republican"
53,65,"Democrat"
53,66,"Republican"
53,67,"Republican"
53,68,"Democrat"
53,69,"Republican"
53,70,"Republican"
53,71,"Republican"
53,72,"Republican"
53,73,"Republican"
53,74,"Republican"
53,75,"Democrat"
53,76,"Democrat"
53,77,"Republican"
53,78,"Democrat"
53,79,"Democrat"
53,80,"Democrat"
53,81,"Democrat"
53,82,"Democrat"
53,83,"Republican"
53,84,"Republican"
53,85,"Democrat"
53,86,"Democrat"
53,87,"Republican"
53,88,"Republican"
53,89,"Democrat"
53,90,"Democrat"
53,91,"Democrat"
53,92,"Democrat"
53,93,"Republican"
53,94,"Republican"
54,1,"Democrat"
54,2,"Democrat"
54,3,"Democrat"
54,4,"Democrat"
54,5,"Democrat"
54,6,"Republican"
54,7,"Republican"
54,8,"Republican"
54,9,"Republican"
54,10,"Republican"
54,11,"Democrat"
54,12,"Democrat"
54,13,"Democrat"
54,14,"Democrat"
54,15,"Democrat"
54,16,"Democrat"
54,17,"Republican"
54,18,"Republican"
54,19,"Democrat"
54,20,"Republican"
54,21,"Democrat"
54,22,"Democrat"
54,23,"Republican"
54,24,"Republican"
54,25,"Democrat"
54,26,"Republican"
54,27,"Democrat"
54,28,"Democrat"
54,29,"Democrat"
54,30,"Democrat"
54,31,"Republican"
54,32,"Republican"
54,33,"Democrat"
54,34,"Democrat"
54,35,"Republican"
54,36,"Republican"
54,37,"Republican"
54,38,"Republican"
54,39,"Republican"
54,40,"Republican"
