CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
USA,2020,36,f,245,5777,5133,6923,10565,28643,0.000427523158530137,0.0027989837742153,0.0154907123551434,0.0403498342915962,0.140315919196939,0.00890845418849602,0,0,0
USA,2020,36,b,536,16001,12086,14344,17154,60121,0.000456913749861944,0.00386610156530753,0.019319250317872,0.0467469292523973,0.145057142809272,0.00944915931072911,0,0,0
USA,2020,37,m,339,10161,6896,7393,6551,31340,0.000564981592822979,0.00489726597474929,0.0234371448997219,0.0546539587651256,0.15248193752061,0.00995769028259202,0,0,0
USA,2020,37,f,234,5668,4956,6790,10558,28206,0.000408328241208375,0.00274617275960747,0.0149565498601385,0.0395746605286636,0.140222950769643,0.00877253984710815,0,0,0
USA,2020,37,b,573,15829,11852,14183,17109,59546,0.000488454437818832,0.00382454357085513,0.0189452055905526,0.0462222321240066,0.144676615152375,0.00935878711792345,0,0,0
USA,2020,38,m,318,9797,6989,7450,6726,31280,0.000529982733090582,0.00472183001226442,0.0237532200847095,0.0550753405654248,0.156555260534822,0.00993862642117034,0,0,0
USA,2020,38,f,236,5625,5111,6857,10526,28355,0.000411818226175968,0.00272533905659704,0.0154243192766682,0.0399651615972086,0.139797952244863,0.00881888135023582,0,0,0
USA,2020,38,b,554,15422,12100,14307,17252,59635,0.000472257868327457,0.0037262057584009,0.0193416290622416,0.0466263466825187,0.145885847484293,0.00937277516167945,0,0,0
USA,2020,39,m,324,9749,6985,7444,7040,31542,0.000539982407299838,0.00469869559962905,0.0237396254530971,0.0550309845864459,0.163863965828895,0.0100218719493783,0,0,0
USA,2020,39,f,193,5736,5115,7066,10854,28964,0.00033678354937272,0.00277911908064722,0.0154363907454819,0.0411832917961026,0.144154187123859,0.0090082905811402,0,0,0
USA,2020,39,b,517,15485,12100,14510,17894,60506,0.000440717180370569,0.00374142758195032,0.0193416290622416,0.0472879213226634,0.151314708722695,0.00950966938765116,0,0,0
USA,2020,40,m,306,9668,6928,7396,6738,31036,0.000509983384672069,0.00465965627830687,0.0235459019526209,0.054676136754615,0.15683457411294,0.00986110005138883,0,0,0
USA,2020,40,f,232,5668,5171,6975,10626,28672,0.000404838256240782,0.00274617275960747,0.0156053913088733,0.0406529097477803,0.141126072634801,0.00891747367568194,0,0,0
USA,2020,40,b,538,15336,12099,14371,17364,59708,0.000458618651913668,0.00370542676117469,0.0193400305805009,0.0468349219385249,0.14683293854146,0.00938424850094,0,0,0
USA,2020,41,m,328,10203,7038,7698,7070,32337,0.000546648856772675,0.00491750858580523,0.023919754321961,0.0569087210298846,0.164562249774189,0.0102744681132156,0,0,0
USA,2020,41,f,221,5761,5236,7182,10934,29334,0.000385643338919021,0.00279123169867654,0.0158015526770954,0.0418593831983596,0.145216683435809,0.00912336679696059,0,0,0
USA,2020,41,b,549,15964,12274,14880,18004,61671,0.000467995613198148,0.00385716176417533,0.0196197648851201,0.0484937470214495,0.152244887439555,0.00969277130872698,0,0,0
USA,2020,42,m,280,9678,6980,7598,6966,31502,0.000466651463098625,0.00466447594760591,0.0237226321635817,0.0561694547135701,0.162141532097171,0.0100091627084306,0,0,0
USA,2020,42,f,250,5559,5205,7144,10846,29004,0.000436248120949119,0.00269336174499963,0.0157079987937895,0.0416379049803789,0.144047937492664,0.00902073125312078,0,0,0
USA,2020,42,b,530,15237,12185,14742,17812,60506,0.000451799043706773,0.00368150675273988,0.0194775000101995,0.048044006625686,0.150621302770127,0.00950966938765116,0,0,0
USA,2020,43,m,294,9861,7159,7931,7301,32546,0.000489984036253557,0.00475267589577824,0.0243309919282351,0.0586312115468972,0.169939036152949,0.0103408738971678,0,0,0
USA,2020,43,f,200,5624,5085,7305,11329,29543,0.000348998496759295,0.00272485455187586,0.0153458547293794,0.0425762732197183,0.150462758976064,0.00918836930805914,0,0,0
USA,2020,43,b,494,15485,12244,15236,18630,62089,0.000421110806775747,0.00374142758195032,0.0195718104328996,0.0496539468829842,0.157538449955505,0.00975846796367092,0,0,0
USA,2020,44,m,307,9825,7424,8095,7360,33011,0.000511649997040278,0.00473532508630172,0.0252316362725545,0.0598436083056528,0.171312327912027,0.0104886188231859,0,0,0
USA,2020,44,f,244,5816,5462,7346,11443,30311,0.00042577816604634,0.00281787945834104,0.0164835906650679,0.0428152365601712,0.151976816220593,0.00942723021008634,0,0,0
USA,2020,44,b,551,15641,12886,15441,18803,63322,0.000469700515249872,0.00377911971645366,0.0205980357104169,0.0503220394998791,0.159001367392022,0.00995225737885246,0,0,0
USA,2020,45,m,318,10457,7764,8719,8132,35390,0.000529982733090582,0.00503992818600072,0.0263871799596057,0.0644566301194549,0.189281501437582,0.0112445009285556,0,0,0
USA,2020,45,f,238,6078,5664,7964,12136,32080,0.000415308211143561,0.00294481969528832,0.0170931998401582,0.0464171717894369,0.161180690522863,0.00997741892842762,0,0,0
USA,2020,45,b,556,16535,13428,16683,20268,67470,0.000473962770379181,0.00399512464110743,0.0214644128138661,0.0543697030617501,0.171389656666569,0.010604194519301,0,0,0
USA,2020,46,m,310,10590,8163,8971,8236,36270,0.000516649834144907,0.00510402978767788,0.0277432444629394,0.0663195812365672,0.191702219114599,0.0115241042294069,0,0,0
USA,2020,46,f,234,6039,5598,8143,12441,32455,0.000408328241208375,0.00292592401116258,0.0168940206047327,0.0474604507636093,0.165231457712173,0.0100940502282456,0,0,0
USA,2020,46,b,544,16629,13761,17114,20677,68725,0.000463733358068839,0.00401783656830816,0.0219967072335129,0.0557743270514171,0.174848230259258,0.0108014416531638,0,0,0
USA,2020,47,m,295,10557,8360,9536,8793,37541,0.000491650648621766,0.00508812487899107,0.0284127800698485,0.0704964359237437,0.20466702436555,0.0119279403605229,0,0,0
USA,2020,47,f,256,6229,6080,8405,13027,33997,0.000446718075851898,0.00301797990818541,0.01834863259678,0.048987484792845,0.173014243197209,0.0105736381330971,0,0,0
USA,2020,47,b,551,16786,14440,17941,21820,71538,0.000469700515249872,0.00405577031905832,0.0230820763354354,0.0584695104376227,0.184513632744451,0.0112435581372722,0,0,0
USA,2020,48,m,266,10830,8695,9696,9219,38706,0.000443318889943694,0.00521970185085472,0.0295513304673843,0.0716792620298468,0.214582656388719,0.0122980970031272,0,0,0
USA,2020,48,f,228,6184,6084,8526,13454,34476,0.000397858286305597,0.00299617719573264,0.0183607040655937,0.0496927180658889,0.178685317262244,0.0107226151800645,0,0,0
USA,2020,48,b,494,17014,14779,18222,22673,73182,0.000421110806775747,0.00411085882333244,0.0236239616455263,0.059385286171025,0.191726745885194,0.0115019440241809,0,0,0
USA,2020,49,m,299,11213,9129,10406,9683,40730,0.000498317098094603,0.00540429518500775,0.0310263479973262,0.0769280528756792,0.22538278140926,0.0129411845950853,0,0,0
USA,2020,49,f,193,6526,6556,9086,14180,36541,0.00033678354937272,0.00316187781037374,0.0197851373856069,0.0529566075940261,0.188327471293193,0.0113648648710621,0,0,0
USA,2020,49,b,492,17739,15685,19492,23863,77271,0.000419405904724023,0.00428603060227425,0.0250721861025834,0.0635242014073988,0.201789588367591,0.0121446081918023,0,0,0
USA,2020,50,m,284,11860,9513,11078,10432,43167,0.000473317912571463,0.0057161277886553,0.0323314326321135,0.0818959225213122,0.24281660391009,0.0137154950998293,0,0,0
USA,2020,50,f,246,6838,6688,9632,15288,38692,0.000429268151013933,0.00331304328337965,0.020183495856458,0.0561388998839599,0.203043045213705,0.012033862006818,0,0,0
